iter	Passed	Remaining
591	5410	3729
592	5420	3720
593	5430	3711
594	5439	3702
595	5448	3692
596	5457	3683
597	5466	3675
598	5474	3665
599	5483	3655
600	5492	3646
601	5500	3636
602	5509	3627
603	5518	3617
604	5526	3608
605	5536	3599
606	5546	3590
607	5556	3582
608	5565	3573
609	5575	3564
610	5585	3555
611	5595	3547
612	5605	3538
613	5615	3530
614	5625	3521
615	5634	3512
616	5644	3503
617	5654	3494
618	5663	3486
619	5671	3476
620	5680	3466
621	5689	3457
622	5698	3448
623	5708	3439
624	5718	3431
625	5729	3422
626	5738	3413
627	5749	3406
628	5760	3397
629	5771	3389
630	5781	3381
631	5791	3372
632	5801	3363
633	5812	3355
634	5822	3346
635	5832	3338
636	5843	3329
637	5853	3321
638	5864	3313
639	5875	3304
640	5884	3295
641	5895	3287
642	5905	3279
643	5916	3270
644	5925	3261
645	5936	3253
646	5946	3244
647	5956	3235
648	5966	3227
649	5976	3218
650	5987	3209
651	5996	3200
652	6006	3191
653	6014	3182
654	6024	3173
655	6034	3164
656	6042	3154
657	6052	3145
658	6061	3136
659	6069	3126
660	6078	3117
661	6087	3108
662	6096	3098
663	6105	3089
664	6115	3080
665	6123	3071
666	6132	3061
667	6142	3052
668	6150	3042
669	6159	3033
670	6167	3024
671	6176	3014
672	6185	3005
673	6194	2995
674	6203	2986
675	6212	2977
676	6222	2968
677	6231	2959
678	6240	2950
679	6250	2941
680	6259	2932
681	6268	2922
682	6277	2913
683	6286	2904
684	6295	2894
685	6303	2885
686	6313	2876
687	6321	2866
688	6331	2857
689	6340	2848
690	6349	2839
691	6359	2830
692	6368	2821
693	6378	2812
694	6386	2802
695	6396	2793
696	6406	2784
697	6414	2775
698	6423	2766
699	6432	2756
700	6440	2747
701	6449	2737
702	6458	2728
703	6467	2719
704	6475	2709
705	6484	2700
706	6493	2690
707	6502	2681
708	6511	2672
709	6520	2663
710	6530	2654
711	6540	2645
712	6550	2636
713	6558	2627
714	6567	2617
715	6576	2608
716	6584	2598
717	6593	2589
718	6601	2579
719	6610	2570
720	6619	2561
721	6628	2552
722	6637	2543
723	6646	2533
724	6655	2524
725	6664	2515
726	6672	2505
727	6681	2496
728	6689	2486
729	6698	2477
730	6706	2467
731	6715	2458
732	6724	2449
733	6733	2440
734	6742	2430
735	6752	2421
736	6761	2412
737	6770	2403
738	6780	2394
739	6790	2385
740	6798	2376
741	6808	2367
742	6817	2358
743	6827	2349
744	6835	2339
745	6845	2330
746	6854	2321
747	6862	2312
748	6871	2302
749	6880	2293
750	6888	2284
751	6897	2274
752	6905	2265
753	6914	2255
754	6923	2246
755	6932	2237
756	6940	2227
757	6950	2218
758	6960	2209
759	6969	2200
760	6978	2191
761	6988	2182
762	6996	2173
763	7005	2163
764	7013	2154
765	7022	2145
766	7030	2135
767	7039	2126
768	7048	2117
769	7057	2107
770	7066	2098
771	7074	2089
772	7084	2080
773	7093	2071
774	7102	2061
775	7111	2052
776	7119	2043
777	7128	2034
778	7137	2024
779	7145	2015
780	7155	2006
781	7165	1997
782	7175	1988
783	7184	1979
784	7193	1970
785	7202	1961
786	7211	1951
787	7221	1942
788	7230	1933
789	7239	1924
790	7248	1915
791	7257	1906
792	7266	1896
793	7275	1887
794	7284	1878
795	7292	1868
796	7301	1859
797	7310	1850
798	7318	1841
799	7327	1831
800	7337	1822
801	7345	1813
802	7354	1804
803	7363	1795
804	7372	1785
805	7382	1776
806	7391	1767
807	7400	1758
808	7408	1749
809	7418	1740
810	7428	1731
811	7436	1721
812	7446	1712
813	7456	1703
814	7465	1694
815	7475	1685
816	7484	1676
817	7493	1667
818	7501	1657
819	7511	1648
820	7520	1639
821	7528	1630
822	7538	1621
823	7548	1612
824	7557	1603
825	7566	1593
826	7575	1584
827	7584	1575
828	7593	1566
829	7603	1557
830	7612	1548
831	7620	1538
832	7631	1529
833	7641	1520
834	7650	1511
835	7660	1502
836	7670	1493
837	7680	1484
838	7690	1475
839	7699	1466
840	7709	1457
841	7718	1448
842	7727	1439
843	7736	1429
844	7745	1420
845	7754	1411
846	7763	1402
847	7772	1393
848	7780	1383
849	7791	1374
850	7800	1365
851	7809	1356
852	7820	1347
853	7829	1338
854	7838	1329
855	7846	1320
856	7856	1310
857	7866	1301
858	7874	1292
859	7883	1283
860	7893	1274
861	7901	1264
862	7910	1255
863	7919	1246
864	7927	1237
865	7936	1228
866	7945	1218
867	7953	1209
868	7963	1200
869	7972	1191
870	7980	1181
871	7989	1172
872	7997	1163
873	8005	1154
874	8014	1144
875	8023	1135
876	8032	1126
877	8041	1117
878	8049	1108
879	8058	1098
880	8067	1089
881	8076	1080
882	8084	1071
883	8093	1062
884	8101	1052
885	8110	1043
886	8119	1034
887	8128	1025
888	8136	1015
889	8145	1006
890	8153	997
891	8163	988
892	8172	979
893	8180	969
894	8188	960
895	8197	951
896	8206	942
897	8215	933
898	8224	923
899	8232	914
900	8241	905
901	8249	896
902	8258	887
903	8266	877
904	8276	868
905	8284	859
906	8294	850
907	8303	841
908	8313	832
909	8322	823
910	8332	813
911	8341	804
912	8350	795
913	8360	786
914	8370	777
915	8379	768
916	8388	759
917	8397	750
